t_step, dpx, dpy, dpz, du, dv, dw, de0, de1, de2, de3, dp, dq, dr
0, 24.99957673, 0, 0.004905000017, -0.8465396179, 0, 9.815945705, -7.07060055e-12, 0, 0.0001189167822, 0, 0, 0.475667129, 0
30, 24.97418159, 0, 0.2990889133, -0.8526375894, 0, 10.13859869, -7.093539011e-07, 0, 0.006732255423, 0, 0, 0.4078474712, 0
60, 24.9487881, 0, 0.593069818, -0.8693577667, 0, 10.41461096, -4.893697162e-06, 0, 0.01240267671, 0, 0, 0.3496974031, 0
90, 24.92339571, 0, 0.8868867621, -0.8949498249, 0, 10.65064649, -1.452721505e-05, 0, 0.01726461644, 0, 0, 0.2998382541, 0
120, 24.89800381, 0, 1.180573227, -0.9279030496, 0, 10.85240318, -3.051069434e-05, 0, 0.02143333944, 0, 0, 0.2570879219, 0
150, 24.87261181, 0, 1.47415792, -0.9669250627, 0, 11.02475576, -5.305394715e-05, 0, 0.02500767316, 0, 0, 0.2204328456, 0
180, 24.84721917, 0, 1.76766546, -1.010918687, 0, 11.17187672, -8.194015424e-05, 0, 0.02807235193, 0, 0, 0.189003976, 0
210, 24.82182541, 0, 2.061116955, -1.058958724, 0, 11.29733888, -0.0001167061995, 0, 0.03070002703, 0, 0, 0.1620561712, 0
240, 24.79643012, 0, 2.354530505, -1.110269748, 0, 11.40420261, -0.0001567635836, 0, 0.03295299014, 0, 0, 0.1389505298, 0
270, 24.77103298, 0, 2.647921632, -1.164205524, 0, 11.49508997, -0.0002014776097, 0, 0.0348846509, 0, 0, 0.1191392441, 0
300, 24.74563374, 0, 2.941303647, -1.220230369, 0, 11.57224795, -0.0002502175289, 0, 0.03654080365, 0, 0, 0.1021526115, 0
330, 24.72023222, 0, 3.234687965, -1.277902547, 0, 11.63760244, -0.0003023867014, 0, 0.0379607135, 0, 0, 0.08758789863, 0
360, 24.69482828, 0, 3.528084373, -1.336859679, 0, 11.69280428, -0.0003574392083, 0, 0.03917804742, 0, 0, 0.07509979307, 0
390, 24.66942187, 0, 3.821501267, -1.396806051, 0, 11.73926866, -0.0004148874526, 0, 0.0402216725, 0, 0, 0.06439221637, 0
420, 24.64401294, 0, 4.114945845, -1.457501666, 0, 11.77820885, -0.0004743039303, 0, 0.04111634037, 0, 0, 0.05521130431, 0
450, 24.61860153, 0, 4.40842428, -1.518752877, 0, 11.81066499, -0.0005353193761, 0, 0.04188327395, 0, 0, 0.04733938813, 0
480, 24.59318769, 0, 4.701941868, -1.58040442, 0, 11.83752885, -0.0005976187934, 0, 0.04254067061, 0, 0, 0.04058983386, 0
510, 24.56777148, 0, 4.995503147, -1.642332668, 0, 11.85956496, -0.000660936387, 0, 0.04310413349, 0, 0, 0.03480261739, 0
540, 24.54235303, 0, 5.289112013, -1.704439961, 0, 11.87742877, -0.0007250500686, 0, 0.04358704133, 0, 0, 0.02984053054, 0
570, 24.51693244, 0, 5.582771804, -1.766649847, 0, 11.89168217, -0.0007897759639, 0, 0.04400086562, 0, 0, 0.02558592801, 0
600, 24.49150987, 0, 5.876485383, -1.828903115, 0, 11.90280687, -0.0008549631813, 0, 0.04435544249, 0, 0, 0.02193793811, 0
630, 24.46608548, 0, 6.170255207, -1.891154498, 0, 11.91121577, -0.0009204889907, 0, 0.04465920582, 0, 0, 0.01881007124, 0
660, 24.44065941, 0, 6.464083382, -1.953369945, 0, 11.91726281, -0.0009862544814, 0, 0.04491938715, 0, 0, 0.0161281693, 0
690, 24.41523186, 0, 6.757971712, -2.015524364, 0, 11.92125137, -0.001052180721, 0, 0.04514218711, 0, 0, 0.01382864752, 0
720, 24.389803, 0, 7.051921747, -2.077599781, 0, 11.92344145, -0.001118205403, 0, 0.04533292233, 0, 0, 0.0118569869, 0
750, 24.36437303, 0, 7.345934814, -2.13958382, 0, 11.92405589, -0.001184279958, 0, 0.0454961515, 0, 0, 0.01016644168, 0
780, 24.33894212, 0, 7.640012052, -2.201468475, 0, 11.92328565, -0.00125036708, 0, 0.04563578341, 0, 0, 0.008716930971, 0
810, 24.31351049, 0, 7.934154436, -2.263249111, 0, 11.92129438, -0.001316438634, 0, 0.04575516957, 0, 0, 0.007474088572, 0
840, 24.28807832, 0, 8.228362802, -2.324923651, 0, 11.91822231, -0.001382473896, 0, 0.0458571837, 0, 0, 0.00640844813, 0
870, 24.26264581, 0, 8.522637868, -2.386491937, 0, 11.91418958, -0.001448458082, 0, 0.04594428981, 0, 0, 0.005494744549, 0
900, 24.23721318, 0, 8.816980247, -2.447955205, 0, 11.90929913, -0.001514381124, 0, 0.04601860061, 0, 0, 0.004711314977, 0
930, 24.21178061, 0, 9.111390466, -2.509315682, 0, 11.90363915, -0.001580236663, 0, 0.0460819276, 0, 0, 0.00403958521, 0
960, 24.18634832, 0, 9.405868975, -2.570576259, 0, 11.89728521, -0.001646021226, 0, 0.04613582402, 0, 0, 0.003463629316, 0
990, 24.1609165, 0, 9.70041616, -2.63174024, 0, 11.89030204, -0.001711733543, 0, 0.04618162164, 0, 0, 0.002969792049, 0
1020, 24.13548537, 0, 9.99503235, -2.692811151, 0, 11.88274509, -0.001777374011, 0, 0.04622046237, 0, 0, 0.002546365101, 0
1050, 24.11005511, 0, 10.28971783, -2.75379259, 0, 11.87466186, -0.001842944247, 0, 0.0462533253, 0, 0, 0.002183309511, 0
1080, 24.08462594, 0, 10.58447283, -2.814688119, 0, 11.86609304, -0.001908446742, 0, 0.04628104993, 0, 0, 0.001872017654, 0
1110, 24.05919806, 0, 10.87929757, -2.875501183, 0, 11.85707349, -0.001973884579, 0, 0.04630435605, 0, 0, 0.001605109161, 0
1140, 24.03377168, 0, 11.17419222, -2.936235053, 0, 11.84763308, -0.002039261219, 0, 0.04632386082, 0, 0, 0.001376255941, 0
1170, 24.00834699, 0, 11.46915693, -2.996892787, 0, 11.83779738, -0.002104580328, 0, 0.04634009343, 0, 0, 0.001180032151, 0
1200, 23.98292419, 0, 11.76419182, -3.057477208, 0, 11.82758833, -0.00216984565, 0, 0.04635350759, 0, 0, 0.001011785552, 0
1230, 23.95750349, 0, 12.059297, -3.117990889, 0, 11.8170247, -0.002235060911, 0, 0.04636449232, 0, 0, 0.0008675272127, 0
1260, 23.9320851, 0, 12.35447257, -3.17843615, 0, 11.80612258, -0.002300229743, 0, 0.04637338118, 0, 0, 0.0007438369362, 0
1290, 23.90666921, 0, 12.64971859, -3.23881506, 0, 11.79489578, -0.002365355635, 0, 0.04638046016, 0, 0, 0.0006377821693, 0
1320, 23.88125602, 0, 12.94503514, -3.299129442, 0, 11.78335612, -0.0024304419, 0, 0.04638597447, 0, 0, 0.0005468484767, 0
1350, 23.85584573, 0, 13.24042226, -3.359380885, 0, 11.77151374, -0.00249549165, 0, 0.04639013437, 0, 0, 0.0004688799262, 0
1380, 23.83043855, 0, 13.53588001, -3.419570754, 0, 11.75937734, -0.002560507785, 0, 0.04639312012, 0, 0, 0.000402027974, 0
1410, 23.80503467, 0, 13.83140841, -3.479700204, 0, 11.74695439, -0.002625492986, 0, 0.04639508629, 0, 0, 0.000344707638, 0
1440, 23.7796343, 0, 14.12700749, -3.539770195, 0, 11.7342513, -0.002690449719, 0, 0.04639616539, 0, 0, 0.0002955599197, 0
1470, 23.75423763, 0, 14.42267728, -3.599781505, 0, 11.72127357, -0.002755380238, 0, 0.04639647107, 0, 0, 0.0002534195838, 0
1500, 23.72884487, 0, 14.71841779, -3.659734745, 0, 11.70802595, -0.002820286591, 0, 0.04639610073, 0, 0, 0.0002172875317, 0
1530, 23.70345621, 0, 15.01422904, -3.719630372, 0, 11.6945125, -0.002885170634, 0, 0.04639513792, 0, 0, 0.0001863071146, 0
1560, 23.67807185, 0, 15.31011104, -3.779468704, 0, 11.68073673, -0.00295003404, 0, 0.04639365426, 0, 0, 0.0001597438228, 0
1590, 23.65269199, 0, 15.60606379, -3.839249931, 0, 11.66670168, -0.00301487831, 0, 0.04639171115, 0, 0, 0.0001369678714, 0
1620, 23.62731684, 0, 15.9020873, -3.898974129, 0, 11.65240996, -0.003079704786, 0, 0.04638936126, 0, 0, 0.0001174392691, 0
1650, 23.60194658, 0, 16.19818155, -3.958641267, 0, 11.63786382, -0.003144514664, 0, 0.04638664971, 0, 0, 0.0001006950155, 0
1680, 23.57658142, 0, 16.49434657, -4.018251222, 0, 11.62306523, -0.003209309006, 0, 0.04638361523, 0, 0, 8.633812373e-05, 0
1710, 23.55122156, 0, 16.79058232, -4.077803788, 0, 11.6080159, -0.003274088751, 0, 0.04638029099, 0, 0, 7.402820856e-05, 0
1740, 23.52586719, 0, 17.08688882, -4.137298679, 0, 11.59271731, -0.003338854724, 0, 0.04637670547, 0, 0, 6.347341621e-05, 0
1770, 23.50051851, 0, 17.38326605, -4.196735546, 0, 11.57717076, -0.003403607649, 0, 0.04637288305, 0, 0, 5.442350482e-05, 0
1800, 23.47517572, 0, 17.679714, -4.256113975, 0, 11.56137738, -0.00346834816, 0, 0.04636884466, 0, 0, 4.66639115e-05, 0
1830, 23.44983902, 0, 17.97623266, -4.315433503, 0, 11.54533818, -0.003533076805, 0, 0.04636460824, 0, 0, 4.001066532e-05, 0
1860, 23.4245086, 0, 18.27282201, -4.374693614, 0, 11.52905405, -0.00359779406, 0, 0.04636018918, 0, 0, 3.430602553e-05, 0
