t_step, px, py, pz, u, v, w, e0, e1, e2, e3, p, q, r
0, 0.02499957673, 0, -99.99999509, 24.99915346, 0, 0.009815945705, 1, 0, 1.189167822e-07, 0, 0, 0.000475667129, 0
30, 0.7745932492, 0, -99.99528753, 24.97369166, 0, 0.3094210861, 0.9999999941, 0, 0.0001087325841, 0, 0, 0.01366843466, 0
60, 1.523425094, 0, -99.98175771, 24.9478776, 0, 0.6179649103, 0.9999999197, 0, 0.0004007691316, 0, 0, 0.02498020406, 0
90, 2.271495153, 0, -99.95941108, 24.92142035, 0, 0.9341540988, 0.9999996387, 0, 0.0008500764237, 0, 0, 0.03467916424, 0
120, 3.01880345, 0, -99.92825205, 24.89407776, 0, 1.25687989, 0.9999989715, 0, 0.001434230887, 0, 0, 0.04299526628, 0
150, 3.765349989, 0, -99.88828407, 24.86564953, 0, 1.585191373, 0.999997723, 0, 0.002134005802, 0, 0, 0.0501256753, 0
180, 4.51113476, 0, -99.8395098, 24.83597106, 0, 1.918272715, 0.999995699, 0, 0.002932915413, 0, 0, 0.05623944502, 0
210, 5.256157735, 0, -99.78193122, 24.80490795, 0, 2.255423729, 0.9999927159, 0, 0.003816824068, 0, 0, 0.0614815258, 0
240, 6.000418875, 0, -99.71554973, 24.77235118, 0, 2.596043269, 0.9999886063, 0, 0.0047736111, 0, 0, 0.06597620131, 0
270, 6.743918127, 0, -99.64036622, 24.73821292, 0, 2.939615033, 0.9999832211, 0, 0.005792883508, 0, 0, 0.06983003506, 0
300, 7.486655434, 0, -99.55638114, 24.70242299, 0, 3.285695426, 0.9999764306, 0, 0.006865729618, 0, 0, 0.07313439699, 0
330, 8.228630729, 0, -99.46359459, 24.66492579, 0, 3.633903157, 0.9999681233, 0, 0.007984507875, 0, 0, 0.07596762967, 0
360, 8.969843941, 0, -99.36200635, 24.62567769, 0, 3.983910346, 0.999958205, 0, 0.009142665759, 0, 0, 0.07839690576, 0
390, 9.710294996, 0, -99.25161592, 24.58464488, 0, 4.335434891, 0.9999465968, 0, 0.01033458451, 0, 0, 0.08047982058, 0
420, 10.44998382, 0, -99.13242256, 24.54180153, 0, 4.688233941, 0.9999332336, 0, 0.01155544603, 0, 0, 0.08226575762, 0
450, 11.18891034, 0, -99.00442536, 24.49712826, 0, 5.042098293, 0.9999180623, 0, 0.01280111869, 0, 0, 0.08379705936, 0
480, 11.92707447, 0, -98.86762322, 24.45061091, 0, 5.396847589, 0.99990104, 0, 0.01406805951, 0, 0, 0.08511003119, 0
510, 12.66447616, 0, -98.72201488, 24.40223945, 0, 5.752326206, 0.9998821322, 0, 0.01535323023, 0, 0, 0.08623580215, 0
540, 13.40111532, 0, -98.56759897, 24.35200714, 0, 6.108399721, 0.9998613121, 0, 0.01665402534, 0, 0, 0.08720106297, 0
570, 14.1369919, 0, -98.40437401, 24.29990987, 0, 6.464951893, 0.9998385587, 0, 0.0179682104, 0, 0, 0.08802869885, 0
600, 14.87210583, 0, -98.23233843, 24.24594549, 0, 6.821882059, 0.999813856, 0, 0.01929386914, 0, 0, 0.08873833207, 0
630, 15.60645705, 0, -98.05149058, 24.19011345, 0, 7.179102918, 0.9997871921, 0, 0.0206293581, 0, 0, 0.08934678723, 0
660, 16.34004552, 0, -97.86182874, 24.13241435, 0, 7.536538618, 0.9997585586, 0, 0.02197326774, 0, 0, 0.08986849008, 0
690, 17.07287117, 0, -97.66335112, 24.07284968, 0, 7.894123123, 0.9997279494, 0, 0.02332438909, 0, 0, 0.09031580959, 0
720, 17.80493399, 0, -97.4560559, 24.01142157, 0, 8.251798807, 0.9996953608, 0, 0.02468168516, 0, 0, 0.09069935119, 0
750, 18.53623391, 0, -97.2399412, 23.94813258, 0, 8.609515257, 0.9996607906, 0, 0.02604426642, 0, 0, 0.09102820821, 0
780, 19.26677093, 0, -97.01500512, 23.8829856, 0, 8.967228237, 0.9996242378, 0, 0.02741136977, 0, 0, 0.09131017745, 0
810, 19.996545, 0, -96.78124572, 23.81598368, 0, 9.324898806, 0.9995857026, 0, 0.02878234052, 0, 0, 0.0915519441, 0
840, 20.72555612, 0, -96.53866102, 23.74712999, 0, 9.682492561, 0.9995451858, 0, 0.03015661696, 0, 0, 0.09175924014, 0
870, 21.45380427, 0, -96.28724904, 23.67642771, 0, 10.03997899, 0.9995026887, 0, 0.03153371706, 0, 0, 0.09193698033, 0
900, 22.18128943, 0, -96.02700777, 23.60388001, 0, 10.3973309, 0.999458213, 0, 0.03291322713, 0, 0, 0.09208937868, 0
930, 22.90801163, 0, -95.75793517, 23.52949001, 0, 10.75452396, 0.9994117606, 0, 0.0342947921, 0, 0, 0.09222004839, 0
960, 23.63397084, 0, -95.48002921, 23.45326076, 0, 11.1115363, 0.9993633337, 0, 0.03567810711, 0, 0, 0.09233208747, 0
990, 24.3591671, 0, -95.19328783, 23.37519519, 0, 11.46834811, 0.9993129343, 0, 0.03706291042, 0, 0, 0.09242815225, 0
1020, 25.08360041, 0, -94.89770897, 23.29529615, 0, 11.82494141, 0.9992605647, 0, 0.03844897718, 0, 0, 0.0925105203, 0
1050, 25.8072708, 0, -94.59329055, 23.21356639, 0, 12.18129974, 0.999206227, 0, 0.03983611425, 0, 0, 0.09258114448, 0
1080, 26.5301783, 0, -94.28003048, 23.13000852, 0, 12.53740794, 0.9991499232, 0, 0.04122415562, 0, 0, 0.09264169921, 0
1110, 27.25232294, 0, -93.95792669, 23.04462507, 0, 12.89325202, 0.9990916553, 0, 0.04261295858, 0, 0, 0.09269362017, 0
1140, 27.97370477, 0, -93.62697707, 22.95741847, 0, 13.24881891, 0.9990314253, 0, 0.04400240038, 0, 0, 0.09273813835, 0
1170, 28.69432383, 0, -93.28717953, 22.86839103, 0, 13.60409641, 0.9989692349, 0, 0.04539237538, 0, 0, 0.09277630921, 0
1200, 29.41418018, 0, -92.93853195, 22.77754501, 0, 13.959073, 0.9989050857, 0, 0.04678279263, 0, 0, 0.09280903775, 0
1230, 30.13327388, 0, -92.58103224, 22.68488256, 0, 14.31373778, 0.9988389794, 0, 0.04817357375, 0, 0, 0.09283709992, 0
1260, 30.85160499, 0, -92.21467829, 22.59040576, 0, 14.66808036, 0.9987709174, 0, 0.04956465115, 0, 0, 0.09286116104, 0
